City|State short|State full|County|City alias
Roper|NC|North Carolina|Washington|Roper
Garfield|WA|Washington|Whitman|Garfield
Everly|IA|Iowa|Clay|Everly
Drakesboro|KY|Kentucky|Muhlenberg|Drakesboro
Hopkinton|IA|Iowa|Delaware|Hopkinton
Weston|ID|Idaho|Franklin|Weston
Juliaetta|ID|Idaho|Latah|Juliaetta
Yarnell|AZ|Arizona|Yavapai|Yarnell
Sunset|TX|Texas|Montague|Sunset
Graceville|MN|Minnesota|Big Stone|Graceville
Bluffs|IL|Illinois|Scott|Bluffs
Trufant|MI|Michigan|Montcalm|Trufant
Stockport|OH|Ohio|Morgan|Stockport
Velma|OK|Oklahoma|Stephens|Velma
St. Bernice|IN|Indiana|Vermillion|St. Bernice
Addison|MI|Michigan|Lenawee|Addison
Lawndale|NC|North Carolina|Cleveland|Lawndale
Ladonia|TX|Texas|Fannin|Ladonia
Alda|NE|Nebraska|Hall|Alda
Colesburg|IA|Iowa|Delaware|Colesburg
Macksville|KS|Kansas|Stafford|Macksville
Laurelville|OH|Ohio|Hocking|Laurelville
Zearing|IA|Iowa|Story|Zearing
Gwynn|VA|Virginia|Mathews|Gwynn
Fairmont|NE|Nebraska|Fillmore|Fairmont
Mineral City|OH|Ohio|Tuscarawas|Mineral City
Bow|WA|Washington|Skagit|Bow
Mesquite|NM|New Mexico|Doña Ana|Mesquite
Cement City|MI|Michigan|Lenawee|Cement City
Trout Valley|IL|Illinois|McHenry|Trout Valley
Gargatha|VA|Virginia|Accomack|Gargatha
Woodland Mills|TN|Tennessee|Obion|Woodland Mills
Saginaw|PA|Pennsylvania|York|Saginaw
Alma Center|WI|Wisconsin|Jackson|Alma Center
Cove City|NC|North Carolina|Craven|Cove City
East Rochester|PA|Pennsylvania|Beaver|East Rochester
Fort Yukon|AK|Alaska|Yukon-Koyukuk|Fort Yukon
Shelbyville|MO|Missouri|Shelby|Shelbyville
Lewis|IN|Indiana|Vigo|Lewis
Bucksport|SC|South Carolina|Horry|Bucksport
Pembina|ND|North Dakota|Pembina|Pembina
Chaplin|KY|Kentucky|Nelson|Chaplin
Stotonic Village|AZ|Arizona|Pinal|Stotonic Village
Kingfield|ME|Maine|Franklin|Kingfield
Ohio|IL|Illinois|Bureau|Ohio
Brooten|MN|Minnesota|Stearns|Brooten
Martinsburg|MO|Missouri|Audrain|Martinsburg
San Luis|CO|Colorado|Costilla|San Luis
Red Oak|OK|Oklahoma|Latimer|Red Oak
Plum City|WI|Wisconsin|Pierce|Plum City
Max Meadows|VA|Virginia|Wythe|Max Meadows
Bergman|AR|Arkansas|Boone|Bergman
Hayesville|OH|Ohio|Ashland|Hayesville
Lemont Furnace|PA|Pennsylvania|Fayette|Lemont Furnace
Juniata Terrace|PA|Pennsylvania|Mifflin|Juniata Terrace
Otis|CO|Colorado|Washington|Otis
West Nanticoke|PA|Pennsylvania|Luzerne|West Nanticoke
Kirby|AR|Arkansas|Pike|Kirby
Wilton|ND|North Dakota|McLean|Wilton
Port Vincent|LA|Louisiana|Livingston|Port Vincent
Ellsinore|MO|Missouri|Carter|Ellsinore
Ty Ty|GA|Georgia|Tift|Ty Ty
Gas|KS|Kansas|Allen|Gas
Walnut Creek|AZ|Arizona|Mohave|Walnut Creek
Mount Aetna|MD|Maryland|Washington|Mount Aetna
Green Spring|KY|Kentucky|Jefferson|Green Spring
New Germany|MN|Minnesota|Carver|New Germany
Manzanita|OR|Oregon|Tillamook|Manzanita
Como|IL|Illinois|Whiteside|Como
Garcon Point|FL|Florida|Santa Rosa|Garcon Point
Nicut|OK|Oklahoma|Sequoyah|Nicut
Hawley|TX|Texas|Jones|Hawley
Happy Camp|CA|California|Siskiyou|Happy Camp
Volcano|HI|Hawaii|Hawaii|Volcano
St. Helena|NC|North Carolina|Pender|St. Helena
Star Prairie|WI|Wisconsin|St. Croix|Star Prairie
Bird City|KS|Kansas|Cheyenne|Bird City
Doolittle|MO|Missouri|Phelps|Doolittle
Darbydale|OH|Ohio|Franklin|Darbydale
Shippenville|PA|Pennsylvania|Clarion|Shippenville
Como|TX|Texas|Hopkins|Como
Starbrick|PA|Pennsylvania|Warren|Starbrick
Tekonsha|MI|Michigan|Calhoun|Tekonsha
Petersburg|TN|Tennessee|Lincoln|Petersburg
Huntington|VT|Vermont|Chittenden|Huntington
St. Francisville|IL|Illinois|Lawrence|St. Francisville
Harts|WV|West Virginia|Lincoln|Harts
Ansonville|NC|North Carolina|Anson|Ansonville
Altheimer|AR|Arkansas|Jefferson|Altheimer
Culbertson|MT|Montana|Roosevelt|Culbertson
Killington Village|VT|Vermont|Rutland|Killington Village
Damiansville|IL|Illinois|Clinton|Damiansville
Fair Play|SC|South Carolina|Oconee|Fair Play
Fort Towson|OK|Oklahoma|Choctaw|Fort Towson
Ash Fork|AZ|Arizona|Yavapai|Ash Fork
Parker's Crossroads|TN|Tennessee|Henderson|Parker's Crossroads
Grand River|OH|Ohio|Lake|Grand River
Crawfordville|GA|Georgia|Taliaferro|Crawfordville
Monaville|WV|West Virginia|Logan|Monaville
Bull Creek|MO|Missouri|Taney|Bull Creek
Littlefork|MN|Minnesota|Koochiching|Littlefork
Gays Mills|WI|Wisconsin|Crawford|Gays Mills
Moulton|IA|Iowa|Appanoose|Moulton
Wakefield|PA|Pennsylvania|Lancaster|Wakefield
Morrisville|MO|Missouri|Polk|Morrisville
Quonochontaug|RI|Rhode Island|Washington|Quonochontaug
Chadwick|IL|Illinois|Carroll|Chadwick
Chattaroy|WV|West Virginia|Mingo|Chattaroy
North Towanda|PA|Pennsylvania|Bradford|North Towanda
Simla|CO|Colorado|Elbert|Simla
Ridgeville|IN|Indiana|Randolph|Ridgeville
Whittemore|IA|Iowa|Kossuth|Whittemore
Verdigre|NE|Nebraska|Knox|Verdigre
Modoc|SC|South Carolina|McCormick|Modoc
Walnut Grove|TN|Tennessee|Sumner|Walnut Grove
Dongola|IL|Illinois|Union|Dongola
Lyndon|IL|Illinois|Whiteside|Lyndon
Forestville|WI|Wisconsin|Door|Forestville
Risingsun|OH|Ohio|Wood|Risingsun
Lake City|TX|Texas|San Patricio|Lake City
Kirtland|NM|New Mexico|San Juan|Kirtland
College City|CA|California|Colusa|College City
Merrimac|WI|Wisconsin|Sauk|Merrimac
Kingman|IN|Indiana|Fountain|Kingman
Mountain View|OK|Oklahoma|Kiowa|Mountain View
Darby|MT|Montana|Ravalli|Darby
Lewis Run|PA|Pennsylvania|McKean|Lewis Run
Loysville|PA|Pennsylvania|Perry|Loysville
Port Washington|OH|Ohio|Tuscarawas|Port Washington
Iron Horse|CA|California|Plumas|Iron Horse
Morley|MO|Missouri|Scott|Morley
Pabellones|PR|Puerto Rico|Toa Baja|Pabellones
Dulac|LA|Louisiana|Terrebonne|Dulac
Greenville|WV|West Virginia|Logan|Greenville
Inglewood|NE|Nebraska|Dodge|Inglewood
Newton Grove|NC|North Carolina|Sampson|Newton Grove
Alba|TX|Texas|Wood|Alba
Madison|AR|Arkansas|St. Francis|Madison
Onyx|CA|California|Kern|Onyx
Zephyr Cove|NV|Nevada|Douglas|Zephyr Cove
Argonia|KS|Kansas|Sumner|Argonia
Zanesville|IN|Indiana|Wells|Zanesville
Scio|OH|Ohio|Harrison|Scio
Waterproof|LA|Louisiana|Tensas|Waterproof
Millville|OH|Ohio|Butler|Millville
Appleby|TX|Texas|Nacogdoches|Appleby
Lyons Switch|OK|Oklahoma|Adair|Lyons Switch
Penney Farms|FL|Florida|Clay|Penney Farms
Alex|OK|Oklahoma|Grady|Alex
Bronson|KS|Kansas|Bourbon|Bronson
Miami|IN|Indiana|Miami|Miami
Betsy Layne|KY|Kentucky|Floyd|Betsy Layne
Parkers Settlement|IN|Indiana|Posey|Parkers Settlement
Shenandoah Retreat|VA|Virginia|Clarke|Shenandoah Retreat
Lake Park|MN|Minnesota|Becker|Lake Park
North Light Plant|NM|New Mexico|San Juan|North Light Plant
Hendricks|MN|Minnesota|Lincoln|Hendricks
Little Hocking|OH|Ohio|Washington|Little Hocking
Benoit|MS|Mississippi|Bolivar|Benoit
Oldtown|ID|Idaho|Bonner|Oldtown
Dellwood|WI|Wisconsin|Adams|Dellwood
Earlsboro|OK|Oklahoma|Pottawatomie|Earlsboro
Elephant Head|AZ|Arizona|Pima|Elephant Head
Pinedale|NM|New Mexico|McKinley|Pinedale
Freeman|MO|Missouri|Cass|Freeman
Kensington|KS|Kansas|Smith|Kensington
Garden City|AL|Alabama|Cullman|Garden City
Cameron|WV|West Virginia|Marshall|Cameron
Nickerson|NE|Nebraska|Dodge|Nickerson
Dayton|PA|Pennsylvania|Armstrong|Dayton
West Chazy|NY|New York|Clinton|West Chazy
West Alexander|PA|Pennsylvania|Washington|West Alexander
Bancroft|MI|Michigan|Shiawassee|Bancroft
Helena|SC|South Carolina|Newberry|Helena
Gresham|WI|Wisconsin|Shawano|Gresham
Porter|OK|Oklahoma|Wagoner|Porter
Ravenwood|MO|Missouri|Nodaway|Ravenwood
Midway|NM|New Mexico|Chaves|Midway
Haena|HI|Hawaii|Kauai|Haena
Aniak|AK|Alaska|Bethel|Aniak
Two Rivers|AK|Alaska|Fairbanks North Star|Two Rivers
New Tripoli|PA|Pennsylvania|Lehigh|New Tripoli
Beaver|OH|Ohio|Pike|Beaver
Martin|MI|Michigan|Allegan|Martin
Lynd|MN|Minnesota|Lyon|Lynd
Townsend|TN|Tennessee|Blount|Townsend
Jeromesville|OH|Ohio|Ashland|Jeromesville
Stewart|MN|Minnesota|McLeod|Stewart
Mermentau|LA|Louisiana|Acadia|Mermentau
Ashford|WA|Washington|Pierce|Ashford
Central City|AR|Arkansas|Sebastian|Central City
Sutherland|IA|Iowa|O'Brien|Sutherland
Coatesville|IN|Indiana|Hendricks|Coatesville
Hytop|AL|Alabama|Jackson|Hytop
Silver Springs|NY|New York|Wyoming|Silver Springs
Cathlamet|WA|Washington|Wahkiakum|Cathlamet
McKenney|VA|Virginia|Dinwiddie|McKenney
Candlewood Isle|CT|Connecticut|Western Connecticut|Candlewood Isle
Meadville|MS|Mississippi|Franklin|Meadville
Strabane|PA|Pennsylvania|Washington|Strabane
Bolton|OH|Ohio|Stark|Bolton
Crooked Creek|GA|Georgia|Putnam|Crooked Creek
Bluford|IL|Illinois|Jefferson|Bluford
Woodland|NC|North Carolina|Northampton|Woodland
Hurtsboro|AL|Alabama|Russell|Hurtsboro
Warm Springs|GA|Georgia|Meriwether|Warm Springs
Grayson|LA|Louisiana|Caldwell|Grayson
Merrillan|WI|Wisconsin|Jackson|Merrillan
Oak Level|VA|Virginia|Henry|Oak Level
Hydetown|PA|Pennsylvania|Crawford|Hydetown
Argusville|ND|North Dakota|Cass|Argusville
Pomeroy|IA|Iowa|Calhoun|Pomeroy
Rudd|IA|Iowa|Floyd|Rudd
Altamahaw|NC|North Carolina|Alamance|Altamahaw
Indianola|CA|California|Humboldt|Indianola
Kanopolis|KS|Kansas|Ellsworth|Kanopolis
Alberton|MT|Montana|Mineral|Alberton
Hillsboro Pines|FL|Florida|Broward|Hillsboro Pines
Altha|FL|Florida|Calhoun|Altha
McLaughlin|SD|South Dakota|Corson|McLaughlin
Low Mountain|AZ|Arizona|Navajo|Low Mountain
Mather|PA|Pennsylvania|Greene|Mather
Deer Creek|IL|Illinois|Tazewell|Deer Creek
Walnut Grove|MO|Missouri|Greene|Walnut Grove
Bristol|TX|Texas|Ellis|Bristol
St. Rose|IL|Illinois|Clinton|St. Rose
Richland|IA|Iowa|Keokuk|Richland
Lake Bungee|CT|Connecticut|Northeastern Connecticut|Lake Bungee
West Point|AL|Alabama|Cullman|West Point
Letha|ID|Idaho|Gem|Letha
Eastover|SC|South Carolina|Richland|Eastover
Mountain Lake|NJ|New Jersey|Warren|Mountain Lake
Elfin Forest|CA|California|San Diego|Elfin Forest
Stagecoach|TX|Texas|Montgomery|Stagecoach
Hilltop|TX|Texas|Frio|Hilltop
Springfield|LA|Louisiana|Livingston|Springfield
Galena|AK|Alaska|Yukon-Koyukuk|Galena
Oretta|LA|Louisiana|Beauregard|Oretta
Scotia|CA|California|Humboldt|Scotia
Norwood|CO|Colorado|San Miguel|Norwood
Jane Lew|WV|West Virginia|Lewis|Jane Lew
High Shoals|NC|North Carolina|Gaston|High Shoals
Wade|NC|North Carolina|Cumberland|Wade
Smithville|MS|Mississippi|Monroe|Smithville
Junction City|AR|Arkansas|Union|Junction City
Custer City|OK|Oklahoma|Custer|Custer City
West Wildwood|NJ|New Jersey|Cape May|West Wildwood
Beverly Beach|FL|Florida|Flagler|Beverly Beach
Rushsylvania|OH|Ohio|Logan|Rushsylvania
Goodyear Village|AZ|Arizona|Pinal|Goodyear Village
Silkworth|PA|Pennsylvania|Luzerne|Silkworth
Leary|TX|Texas|Bowie|Leary
Vanderbilt|TX|Texas|Jackson|Vanderbilt
Coloma|WI|Wisconsin|Waushara|Coloma
Paragon|IN|Indiana|Morgan|Paragon
Brasher Falls|NY|New York|St. Lawrence|Brasher Falls
Three Bridges|NJ|New Jersey|Hunterdon|Three Bridges
Rodriguez Hevia|PR|Puerto Rico|Cidra|Rodriguez Hevia
El Nido|CA|California|Merced|El Nido
Hammondsport|NY|New York|Steuben|Hammondsport
Canovanillas|PR|Puerto Rico|Canóvanas|Canovanillas
West College Corner|IN|Indiana|Union|West College Corner
Gilbert|SC|South Carolina|Lexington|Gilbert
Vera|OK|Oklahoma|Washington|Vera
Napaskiak|AK|Alaska|Bethel|Napaskiak
Tripp|SD|South Dakota|Hutchinson|Tripp
Boggstown|IN|Indiana|Shelby|Boggstown
Irwinton|GA|Georgia|Wilkinson|Irwinton
Sandy Hollow-Escondidas|TX|Texas|Nueces|Sandy Hollow-Escondidas
Blaine Hill|PA|Pennsylvania|Allegheny|Blaine Hill
Fonda|NY|New York|Montgomery|Fonda
Madera|PA|Pennsylvania|Clearfield|Madera
Potwin|KS|Kansas|Butler|Potwin
Tamaroa|IL|Illinois|Perry|Tamaroa
Wampsville|NY|New York|Madison|Wampsville
Conetoe|NC|North Carolina|Edgecombe|Conetoe
St. Leonard|MD|Maryland|Calvert|St. Leonard
Ashland|MS|Mississippi|Benton|Ashland
Port Republic|VA|Virginia|Rockingham|Port Republic
San Geronimo|CA|California|Marin|San Geronimo
Marcola|OR|Oregon|Lane|Marcola
Corder|MO|Missouri|Lafayette|Corder
Romney|IN|Indiana|Tippecanoe|Romney
Washburn|MO|Missouri|Barry|Washburn
Bridgeton|NC|North Carolina|Craven|Bridgeton
Holden|WV|West Virginia|Logan|Holden
Verona|OH|Ohio|Preble|Verona
Weedville|PA|Pennsylvania|Elk|Weedville
Argyle|IL|Illinois|Boone|Argyle
Little Rock|SC|South Carolina|Dillon|Little Rock
Rankin|IL|Illinois|Vermilion|Rankin
Trafford|AL|Alabama|Jefferson|Trafford
Carlock|IL|Illinois|McLean|Carlock
Cowen|WV|West Virginia|Webster|Cowen
Cobbtown|GA|Georgia|Tattnall|Cobbtown
Green City|MO|Missouri|Sullivan|Green City
Garden Prairie|IL|Illinois|Boone|Garden Prairie
Proctorville|OH|Ohio|Lawrence|Proctorville
Stanton|ND|North Dakota|Mercer|Stanton
Grand Junction|TN|Tennessee|Hardeman|Grand Junction
San Jose|AZ|Arizona|Graham|San Jose
Red Level|AL|Alabama|Covington|Red Level
Waubeka|WI|Wisconsin|Ozaukee|Waubeka
Stewart|OH|Ohio|Athens|Stewart
Bethel|MN|Minnesota|Anoka|Bethel
Brownville Junction|ME|Maine|Piscataquis|Brownville Junction
Evant|TX|Texas|Coryell|Evant
Greenwood|IL|Illinois|McHenry|Greenwood
Pinewood|SC|South Carolina|Sumter|Pinewood
Kress|TX|Texas|Swisher|Kress
Glorieta|NM|New Mexico|Santa Fe|Glorieta
Hickory Grove|SC|South Carolina|York|Hickory Grove
Babbie|AL|Alabama|Covington|Babbie
Au Sable Forks|NY|New York|Clinton|Au Sable Forks
South Wilmington|IL|Illinois|Grundy|South Wilmington
Skokomish|WA|Washington|Mason|Skokomish
Seymour|IA|Iowa|Wayne|Seymour
Pilot Station|AK|Alaska|Kusilvak|Pilot Station
Richfield|ID|Idaho|Lincoln|Richfield
Piney Grove|GA|Georgia|Harris|Piney Grove
Cumming|IA|Iowa|Warren|Cumming
Trimble|TN|Tennessee|Dyer|Trimble
Lake Seneca|OH|Ohio|Williams|Lake Seneca
Hot Springs|MT|Montana|Sanders|Hot Springs
Redbird Smith|OK|Oklahoma|Sequoyah|Redbird Smith
Anmoore|WV|West Virginia|Harrison|Anmoore
Bay Port|MI|Michigan|Huron|Bay Port
Roscoe|NY|New York|Sullivan|Roscoe
Strathmoor Village|KY|Kentucky|Jefferson|Strathmoor Village
Lynnville|IA|Iowa|Jasper|Lynnville
Ironton|MN|Minnesota|Crow Wing|Ironton
Dix|IL|Illinois|Jefferson|Dix
Kurten|TX|Texas|Brazos|Kurten
Chinook|WA|Washington|Pacific|Chinook
Lee Vining|CA|California|Mono|Lee Vining
Lyford|IN|Indiana|Parke|Lyford
Ava|IL|Illinois|Jackson|Ava
Gibbsville|WI|Wisconsin|Sheboygan|Gibbsville
Interlaken|NY|New York|Seneca|Interlaken
South Heart|ND|North Dakota|Stark|South Heart
Idaho City|ID|Idaho|Boise|Idaho City
Holly|CO|Colorado|Prowers|Holly
Gordonville|PA|Pennsylvania|Lancaster|Gordonville
Hecker|IL|Illinois|Monroe|Hecker
Lake Mystic|FL|Florida|Liberty|Lake Mystic
Wheeler|MS|Mississippi|Prentiss|Wheeler
Ephesus|GA|Georgia|Heard|Ephesus
Calpella|CA|California|Mendocino|Calpella
Dawson|IL|Illinois|Sangamon|Dawson
Fleming-Neon|KY|Kentucky|Letcher|Fleming-Neon
Fredericktown|PA|Pennsylvania|Washington|Fredericktown
Rowe|NM|New Mexico|San Miguel|Rowe
Wilkeson|WA|Washington|Pierce|Wilkeson
Westwood|IN|Indiana|Henry|Westwood
Milano|TX|Texas|Milam|Milano
Thompsontown|PA|Pennsylvania|Juniata|Thompsontown
Pleasanton|NE|Nebraska|Buffalo|Pleasanton
Grantsville|WV|West Virginia|Calhoun|Grantsville
Jacksons' Gap|AL|Alabama|Tallapoosa|Jacksons' Gap
Saguache|CO|Colorado|Saguache|Saguache
Grayhawk|MO|Missouri|Ste. Genevieve|Grayhawk
Franklin|IL|Illinois|Morgan|Franklin
Bell City|MO|Missouri|Stoddard|Bell City
Claremont|MN|Minnesota|Dodge|Claremont
Garwin|IA|Iowa|Tama|Garwin
Grand Mound|IA|Iowa|Clinton|Grand Mound
Amboy|MN|Minnesota|Blue Earth|Amboy
Bainbridge|IN|Indiana|Putnam|Bainbridge
Howard|KS|Kansas|Elk|Howard
Wyndmere|ND|North Dakota|Richland|Wyndmere
Caspian|MI|Michigan|Iron|Caspian
Valparaiso|NE|Nebraska|Saunders|Valparaiso
Orchid|FL|Florida|Indian River|Orchid
Riverlea|OH|Ohio|Franklin|Riverlea
Pretty Prairie|KS|Kansas|Reno|Pretty Prairie
Wellington|MO|Missouri|Lafayette|Wellington
Stuart|NE|Nebraska|Holt|Stuart
Decatur|NE|Nebraska|Burt|Decatur
Rocky Mountain|OK|Oklahoma|Adair|Rocky Mountain
Parma|MO|Missouri|New Madrid|Parma
Pinedale|AZ|Arizona|Navajo|Pinedale
Alapaha|GA|Georgia|Berrien|Alapaha
Savageville|VA|Virginia|Accomack|Savageville
Sugar City|CO|Colorado|Crowley|Sugar City
Chandlerville|IL|Illinois|Cass|Chandlerville
Port Matilda|PA|Pennsylvania|Centre|Port Matilda
Newport|NJ|New Jersey|Cumberland|Newport
Russell|IA|Iowa|Lucas|Russell
Plantersville|TX|Texas|Grimes|Plantersville
Kingsland|AR|Arkansas|Cleveland|Kingsland
Grand Tower|IL|Illinois|Jackson|Grand Tower
Billings|OK|Oklahoma|Noble|Billings
North Troy|VT|Vermont|Orleans|North Troy
South Seaville|NJ|New Jersey|Cape May|South Seaville
Bonanza|OR|Oregon|Klamath|Bonanza
Big Thicket Lake Estates|TX|Texas|Liberty|Big Thicket Lake Estates
Kirkersville|OH|Ohio|Licking|Kirkersville
Makanda|IL|Illinois|Jackson|Makanda
New Auburn|WI|Wisconsin|Chippewa|New Auburn
North Rose|NY|New York|Wayne|North Rose
Olney Springs|CO|Colorado|Crowley|Olney Springs
Kanosh|UT|Utah|Millard|Kanosh
Rhine|GA|Georgia|Dodge|Rhine
La Paz Valley|AZ|Arizona|La Paz|La Paz Valley
Kenvir|KY|Kentucky|Harlan|Kenvir
Woodruff|WI|Wisconsin|Oneida|Woodruff
McDowell|KY|Kentucky|Floyd|McDowell
Dodge City|AL|Alabama|Cullman|Dodge City
Denver|IN|Indiana|Miami|Denver
Brownsboro Farm|KY|Kentucky|Jefferson|Brownsboro Farm
Hewlett Neck|NY|New York|Nassau|Hewlett Neck
Herreid|SD|South Dakota|Campbell|Herreid
Lattimore|NC|North Carolina|Cleveland|Lattimore
Bowersville|GA|Georgia|Hart|Bowersville
Porcupine|SD|South Dakota|Oglala Lakota|Porcupine
Empire|CO|Colorado|Clear Creek|Empire
Dillwyn|VA|Virginia|Buckingham|Dillwyn
Vaughn|NM|New Mexico|Guadalupe|Vaughn
Portland|ND|North Dakota|Traill|Portland
Cheriton|VA|Virginia|Northampton|Cheriton
Deep Run|NC|North Carolina|Lenoir|Deep Run
Potters Hill|NC|North Carolina|Duplin|Potters Hill
Golf|IL|Illinois|Cook|Golf
Richland|IN|Indiana|Spencer|Richland
Lewisberry|PA|Pennsylvania|York|Lewisberry
La Mesa|NM|New Mexico|Doña Ana|La Mesa
St. David|IL|Illinois|Fulton|St. David
Millry|AL|Alabama|Washington|Millry
Rolling Hills|WY|Wyoming|Converse|Rolling Hills
Laona|WI|Wisconsin|Forest|Laona
Jacksonville|PA|Pennsylvania|Indiana|Jacksonville
Burden|KS|Kansas|Cowley|Burden
Hartford Village|VT|Vermont|Windsor|Hartford Village
Creston|IL|Illinois|Ogle|Creston
Greens Landing|PA|Pennsylvania|Bradford|Greens Landing
Cygnet|OH|Ohio|Wood|Cygnet
Emerson|IA|Iowa|Mills|Emerson
Cowden|IL|Illinois|Shelby|Cowden
Laurys Station|PA|Pennsylvania|Lehigh|Laurys Station
Fithian|IL|Illinois|Vermilion|Fithian
Joseph|UT|Utah|Sevier|Joseph
Pine Ridge|AL|Alabama|DeKalb|Pine Ridge
Kewanna|IN|Indiana|Fulton|Kewanna
Detroit|TX|Texas|Red River|Detroit
Conneaut Lake|PA|Pennsylvania|Crawford|Conneaut Lake
Pleasant Hill|TN|Tennessee|Cumberland|Pleasant Hill
Bethel|ME|Maine|Oxford|Bethel
Garden City|UT|Utah|Rich|Garden City
Seabrook|MA|Massachusetts|Barnstable|Seabrook
Brushton|NY|New York|Franklin|Brushton
West Pocomoke|MD|Maryland|Somerset|West Pocomoke
Parkerfield|KS|Kansas|Cowley|Parkerfield
Rolla|KS|Kansas|Morton|Rolla
Pleasant City|OH|Ohio|Guernsey|Pleasant City
Robin Glen-Indiantown|MI|Michigan|Saginaw|Robin Glen-Indiantown
Dearborn|MO|Missouri|Platte|Dearborn
Worden|MT|Montana|Yellowstone|Worden
Bethel Village|IN|Indiana|Bartholomew|Bethel Village
Dryden|VA|Virginia|Lee|Dryden
Foot of Ten|PA|Pennsylvania|Blair|Foot of Ten
Jerry City|OH|Ohio|Wood|Jerry City
Reno Beach|OH|Ohio|Lucas|Reno Beach
Dows|IA|Iowa|Wright|Dows
Balaton|MN|Minnesota|Lyon|Balaton
Argyle|GA|Georgia|Clinch|Argyle
New Market|IN|Indiana|Montgomery|New Market
Arnett|OK|Oklahoma|Ellis|Arnett
Allison Gap|VA|Virginia|Smyth|Allison Gap
Pope|MS|Mississippi|Panola|Pope
Patoka|IL|Illinois|Marion|Patoka
Hamburg|MN|Minnesota|Carver|Hamburg
Kiester|MN|Minnesota|Faribault|Kiester
North Carrollton|MS|Mississippi|Carroll|North Carrollton
Mad River|CA|California|Trinity|Mad River
Circle|MT|Montana|McCone|Circle
Clarksburg|OH|Ohio|Ross|Clarksburg
Shiloh|OH|Ohio|Richland|Shiloh
Hill City|MN|Minnesota|Aitkin|Hill City
Sabula|IA|Iowa|Jackson|Sabula
Shoal Creek Drive|MO|Missouri|Newton|Shoal Creek Drive
Round Rock|AZ|Arizona|Apache|Round Rock
Gurley|AL|Alabama|Madison|Gurley
White Earth|MN|Minnesota|Becker|White Earth
Turner|ME|Maine|Androscoggin|Turner
Sandy Hook|KY|Kentucky|Elliott|Sandy Hook
New Cuyama|CA|California|Santa Barbara|New Cuyama
Lake Almanor Country Club|CA|California|Plumas|Lake Almanor Country Club
Polkville|NC|North Carolina|Cleveland|Polkville
Cragsmoor|NY|New York|Ulster|Cragsmoor
Plum Valley|IL|Illinois|Will|Plum Valley
Goessel|KS|Kansas|Marion|Goessel
Mulliken|MI|Michigan|Eaton|Mulliken
Caneyville|KY|Kentucky|Grayson|Caneyville
Montcalm|WV|West Virginia|Mercer|Montcalm
Lone Oak|TX|Texas|Hunt|Lone Oak
Gallaway|TN|Tennessee|Fayette|Gallaway
Ranier|MN|Minnesota|Koochiching|Ranier
Taconite|MN|Minnesota|Itasca|Taconite
La Paloma-Lost Creek|TX|Texas|Nueces|La Paloma-Lost Creek
Atlantic|NC|North Carolina|Carteret|Atlantic
McDonald|TN|Tennessee|Bradley|McDonald
Medicine Lake|MN|Minnesota|Hennepin|Medicine Lake
Shorehaven|NY|New York|Dutchess|Shorehaven
Cullom|IL|Illinois|Livingston|Cullom
Fillmore|NY|New York|Allegany|Fillmore
Rosedale|IN|Indiana|Parke|Rosedale
Odessa|NY|New York|Schuyler|Odessa
Klemme|IA|Iowa|Hancock|Klemme
Hot Springs|VA|Virginia|Bath|Hot Springs
Fisk|MO|Missouri|Butler|Fisk
Troy|IN|Indiana|Perry|Troy
Melbourne|KY|Kentucky|Campbell|Melbourne
Standing Pine|MS|Mississippi|Leake|Standing Pine
Linden|WI|Wisconsin|Iowa|Linden
Red Jacket|WV|West Virginia|Mingo|Red Jacket
Riegelwood|NC|North Carolina|Columbus|Riegelwood
Jacksonville|NY|New York|Tompkins|Jacksonville
Whigham|GA|Georgia|Grady|Whigham
Grassflat|PA|Pennsylvania|Clearfield|Grassflat
Mercer|WI|Wisconsin|Iron|Mercer
Lake Preston|SD|South Dakota|Kingsbury|Lake Preston
Equality|IL|Illinois|Gallatin|Equality
Crucible|PA|Pennsylvania|Greene|Crucible
Woodson|TX|Texas|Throckmorton|Woodson
Pesotum|IL|Illinois|Champaign|Pesotum
Mellen|WI|Wisconsin|Ashland|Mellen
Marianna|PA|Pennsylvania|Washington|Marianna
Godley|IL|Illinois|Will|Godley
Crown City|OH|Ohio|Gallia|Crown City
La Vina|CA|California|Madera|La Vina
Sierra Brooks|CA|California|Sierra|Sierra Brooks
Gettysburg|OH|Ohio|Darke|Gettysburg
Cadwell|GA|Georgia|Laurens|Cadwell
Bland|MO|Missouri|Gasconade|Bland
Blanchard|PA|Pennsylvania|Centre|Blanchard
The University of Virginia's College at Wise|VA|Virginia|Wise|The University of Virginia's College at Wise
Deweyville|TX|Texas|Newton|Deweyville
Eldred|PA|Pennsylvania|McKean|Eldred
Hopewell|IL|Illinois|Marshall|Hopewell
Ballico|CA|California|Merced|Ballico
New Underwood|SD|South Dakota|Pennington|New Underwood
Interlochen|MI|Michigan|Grand Traverse|Interlochen
Winchester|OK|Oklahoma|Okmulgee|Winchester
Tropic|UT|Utah|Garfield|Tropic
Bend|CA|California|Tehama|Bend
West Logan|OH|Ohio|Hocking|West Logan
Davenport|CA|California|Santa Cruz|Davenport
Sutersville|PA|Pennsylvania|Westmoreland|Sutersville
Nezperce|ID|Idaho|Lewis|Nezperce
Florence|KS|Kansas|Marion|Florence
